id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
62690,2013,1,2013,2013,3,604,Al-Shabaab - Civilians,1071,Al-Shabaab - Civilians,717,,Al-Shabaab,1,,Civilians,18,"""ICG Crisis Watch,2013-10-01,Crisis Watch Kenya   |  1 Oct 2013"";""Agence France Presse,2013-09-21,Fierce gunbattle, casualties in upmarket Nairobi shopping mall: police"";""Agence France Presse,2013-09-21,At least six killed in Nairobi mall gun attack"";""Agence France Presse,2013-09-21,At least 20 killed in Nairobi mall 'terror' attack"";""Dow Jones News Service,2013-09-22,Death Toll Rises to 59 in Kenya Mall Attack"";""Agence France Presse,2013-09-22,Death toll in Kenya mall siege rises to 68: Red Cross"";""Agence France Presse,2013-09-23,Kenya hostages evacuated, mall siege nears end: govt spokesman"";""Dow Jones News Service,2013-09-24,Kenyan Forces Hunt for Remaining Holdouts at Westgate Mall"";""Agence France Presse,2013-09-24,Kenya president says mall siege over, 'losses immense'"";""BBC Monitoring Africa,2013-09-25,Kenyan forces give horrific accounts on mall siege, death toll may rise"";""Agence France Presse,2013-09-28,Reports warned of Nairobi attack: newspapers"";""Associated Press Newswires,2013-09-29,Nairobi morgue's last victim of mall attack is ID'd; a nation's grief is one mother's tragedy"";""Associated Press Newswires,2013-10-02,Questions persist about the Kenya mall attack: How many attackers, hostages? Claims in doubt"";""Dow Jones Top Global Market Stories,2013-10-02,Investigators Pull 2 More Bodies From Westgate Mall Rubble"";""All Africa,2013-10-16,23 People Still Missing Almost a Month After Westgate Attack"";""Africa Research Bulletin,2013-10-16,Nairobi Shopping Mall Massacre (pp. 19835-7)"";""Agence France Presse,2014-09-05,Shebab leader Godane, Al-Qaeda's top man in Somalia"";""Agence France Presse,2014-09-17,Kenya Westgate massacre: developments one year on""",ICG Crisis Watch;Agence France Presse;Agence France Presse;Agence France Presse;Dow Jones News Service;Agence France Presse;Agence France Presse;Dow Jones News Service;Agence France Presse;BBC Monitoring Africa;Agence France Presse;Associated Press Newswires;Associated Press Newswires;Dow Jones Top Global Market Stories;All Africa;Africa Research Bulletin;Agence France Presse;Agence France Presse,2013-10-01;2013-09-21;2013-09-21;2013-09-21;2013-09-22;2013-09-22;2013-09-23;2013-09-24;2013-09-24;2013-09-25;2013-09-28;2013-09-29;2013-10-02;2013-10-02;2013-10-16;2013-10-16;2014-09-05;2014-09-17,"Crisis Watch Kenya   |  1 Oct 2013;Fierce gunbattle, casualties in upmarket Nairobi shopping mall: police;At least six killed in Nairobi mall gun attack;At least 20 killed in Nairobi mall 'terror' attack;Death Toll Rises to 59 in Kenya Mall Attack;Death toll in Kenya mall siege rises to 68: Red Cross;Kenya hostages evacuated, mall siege nears end: govt spokesman;Kenyan Forces Hunt for Remaining Holdouts at Westgate Mall;Kenya president says mall siege over, 'losses immense';Kenyan forces give horrific accounts on mall siege, death toll may rise;Reports warned of Nairobi attack: newspapers;Nairobi morgue's last victim of mall attack is ID'd; a nation's grief is one mother's tragedy;Questions persist about the Kenya mall attack: How many attackers, hostages? Claims in doubt;Investigators Pull 2 More Bodies From Westgate Mall Rubble;23 People Still Missing Almost a Month After Westgate Attack;Nairobi Shopping Mall Massacre (pp. 19835-7);Shebab leader Godane, Al-Qaeda's top man in Somalia;Kenya Westgate massacre: developments one year on",Kenyan officials; al-Shabaab; Kenyan Red Cross,1,Nairobi city,Nairobi city county,,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,1,2,2013-09-21,2013-09-22,0,0,61,0,61,61,63
151294,2014,1,2014,2014,3,604,Al-Shabaab - Civilians,1071,Al-Shabaab - Civilians,717,,Al-Shabaab,1,,Civilians,26,"""Agence France Presse,2014-06-15,Gunmen attack Kenyan coastal town: army"";""Agence France Presse,2014-06-16,Islamist gunmen kill at least 26 in Kenya attack: official"";""Agence France Presse,2014-06-16,34 killed in Kenya attack: Red Cross, officials"";""Agence France Presse,2014-06-16,Suspected Somali militants kill 48 in Kenya attack: Red Cross"";""Agence France Presse,2014-06-16,Islamist gunmen kill at least 49 in Kenya attack"";""Agence France Presse,2014-06-16,Security boosted across Kenya after attack: interior minister"";""Agence France Presse,2014-06-16,Somalia's Shebab massacre dozens in Kenyan coastal town"";""Associated Press Newswires,2014-06-16,Gunmen singled out non-Muslims in Kenya attack"";""Agence France Presse,2014-06-17,Kenya president blames 'local political networks' for attacks"";""BBC Monitoring Africa,2014-06-17,Kenyan Kikuyu language radio doubts Mpeketoni attacks work of Al-Shabab"";""Xinhua News Agency,2014-06-17,2nd LD Writethru: Kenya's leader rules out Al-Shabaab links to attacks on civilians"";""Reuters News,2014-06-17,UPDATE 3-President says Kenyan politics not Islamists behind attacks"";""BBC Monitoring Africa,2014-06-18,Kenyan police arrest two suspects over Mpeketoni attack"";""Agence France Presse,2014-06-18,Shebab again claim Kenya attacks, urge Muslim uprising"";""Agence France Presse,2014-06-18,Kenyan opposition leader denies role in coast massacres"";""BBC Monitoring Africa,2014-06-19,Security experts divided over motivation behind attacks in Kenyan coast - report"";""BBC Monitoring Africa,2014-06-19,Eyewitnesses say ""white man"" commanded Kenyan coastal town attackers"";""BBC Monitoring Africa,2014-06-21,UK, US say Kenya killings linked to terrorism"";""BBC Monitoring Africa,2014-06-22,Somali terror group's involvement in Kenyan coast attacks viewed"";""BBC Monitoring Africa,2014-06-25,Five suspects appear in Kenyan court over coastal town attack"";""Agence France Presse,2014-06-26,Kenya arrests governor after coastal attacks: police"";""BBC Monitoring Africa,2014-07-04,Report blames Al-Shabab for Kenya's Mpeketoni attack"";""BBC Monitoring Africa,2014-07-13,Kenyan intelligence agency says attackers planning more raids in coastal region"";""BBC Monitoring Africa,2014-07-25,Kenyan soldiers arrest Tanzanian suspects linked to Mpeketoni attacks"";""BBC Monitoring Africa,2014-08-12,Kenyan security forces arrest ""gang leader"" in coastal region"";""Agence France Presse,2014-09-10,Case thrown out against Kenya governor linked to massacres""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Associated Press Newswires;Agence France Presse;BBC Monitoring Africa;Xinhua News Agency;Reuters News;BBC Monitoring Africa;Agence France Presse;Agence France Presse;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;Agence France Presse;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;Agence France Presse,2014-06-15;2014-06-16;2014-06-16;2014-06-16;2014-06-16;2014-06-16;2014-06-16;2014-06-16;2014-06-17;2014-06-17;2014-06-17;2014-06-17;2014-06-18;2014-06-18;2014-06-18;2014-06-19;2014-06-19;2014-06-21;2014-06-22;2014-06-25;2014-06-26;2014-07-04;2014-07-13;2014-07-25;2014-08-12;2014-09-10,"Gunmen attack Kenyan coastal town: army;Islamist gunmen kill at least 26 in Kenya attack: official;34 killed in Kenya attack: Red Cross, officials;Suspected Somali militants kill 48 in Kenya attack: Red Cross;Islamist gunmen kill at least 49 in Kenya attack;Security boosted across Kenya after attack: interior minister;Somalia's Shebab massacre dozens in Kenyan coastal town;Gunmen singled out non-Muslims in Kenya attack;Kenya president blames 'local political networks' for attacks;Kenyan Kikuyu language radio doubts Mpeketoni attacks work of Al-Shabab;2nd LD Writethru: Kenya's leader rules out Al-Shabaab links to attacks on civilians;UPDATE 3-President says Kenyan politics not Islamists behind attacks;Kenyan police arrest two suspects over Mpeketoni attack;Shebab again claim Kenya attacks, urge Muslim uprising;Kenyan opposition leader denies role in coast massacres;Security experts divided over motivation behind attacks in Kenyan coast - report;Eyewitnesses say ""white man"" commanded Kenyan coastal town attackers;UK, US say Kenya killings linked to terrorism;Somali terror group's involvement in Kenyan coast attacks viewed;Five suspects appear in Kenyan court over coastal town attack;Kenya arrests governor after coastal attacks: police;Report blames Al-Shabab for Kenya's Mpeketoni attack;Kenyan intelligence agency says attackers planning more raids in coastal region;Kenyan soldiers arrest Tanzanian suspects linked to Mpeketoni attacks;Kenyan security forces arrest ""gang leader"" in coastal region;Case thrown out against Kenya governor linked to massacres","Benson Maisori, deputy commissioner for the district; army; KHRC; al-Shabaab",1,Mpeketoni town,Lamu county,Lamu West Constituency,-2.392715,40.694218,POINT (40.694218 -2.392715),126442,Kenya,501,KEN,Africa,1,2,2014-06-15,2014-06-16,0,0,48,0,48,48,48
151296,2014,1,2014,2014,3,604,Al-Shabaab - Civilians,1071,Al-Shabaab - Civilians,717,,Al-Shabaab,1,,Civilians,18,"""Reuters News,2014-06-17,CORRECTED-Islamist militants kill 8 more in new attack on Kenya coast"";""Agence France Presse,2014-06-17,At least 10 dead as Islamists strike again on Kenya's coast"";""BBC Monitoring Africa,2014-06-17,USA condemns terrorist attack on Kenya's coastal town"";""Agence France Presse,2014-06-17,Kenya president blames 'local political networks' for attacks"";""BBC Monitoring Africa,2014-06-17,Kenyan Kikuyu language radio doubts Mpeketoni attacks work of Al-Shabab"";""Xinhua News Agency,2014-06-17,2nd LD Writethru: Kenya's leader rules out Al-Shabaab links to attacks on civilians"";""Reuters News,2014-06-17,UPDATE 3-President says Kenyan politics not Islamists behind attacks"";""Agence France Presse,2014-06-18,Kenyan officials deny women kidnapped in coastal attacks"";""BBC Monitoring Africa,2014-06-18,Kenyan police arrest two suspects over Mpeketoni attack"";""Agence France Presse,2014-06-18,Shebab again claim Kenya attacks, urge Muslim uprising"";""Agence France Presse,2014-06-18,Kenyan opposition leader denies role in coast massacres"";""BBC Monitoring Africa,2014-06-19,Security experts divided over motivation behind attacks in Kenyan coast - report"";""BBC Monitoring Africa,2014-06-19,Eyewitnesses say ""white man"" commanded Kenyan coastal town attackers"";""BBC Monitoring Africa,2014-06-21,UK, US say Kenya killings linked to terrorism"";""BBC Monitoring Africa,2014-06-22,Somali terror group's involvement in Kenyan coast attacks viewed"";""BBC Monitoring Africa,2014-06-25,Five suspects appear in Kenyan court over coastal town attack"";""Agence France Presse,2014-06-26,Kenya arrests governor after coastal attacks: police"";""BBC Monitoring Africa,2014-07-04,Report blames Al-Shabab for Kenya's Mpeketoni attack""",Reuters News;Agence France Presse;BBC Monitoring Africa;Agence France Presse;BBC Monitoring Africa;Xinhua News Agency;Reuters News;Agence France Presse;BBC Monitoring Africa;Agence France Presse;Agence France Presse;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;Agence France Presse;BBC Monitoring Africa,2014-06-17;2014-06-17;2014-06-17;2014-06-17;2014-06-17;2014-06-17;2014-06-17;2014-06-18;2014-06-18;2014-06-18;2014-06-18;2014-06-19;2014-06-19;2014-06-21;2014-06-22;2014-06-25;2014-06-26;2014-07-04,"CORRECTED-Islamist militants kill 8 more in new attack on Kenya coast;At least 10 dead as Islamists strike again on Kenya's coast;USA condemns terrorist attack on Kenya's coastal town;Kenya president blames 'local political networks' for attacks;Kenyan Kikuyu language radio doubts Mpeketoni attacks work of Al-Shabab;2nd LD Writethru: Kenya's leader rules out Al-Shabaab links to attacks on civilians;UPDATE 3-President says Kenyan politics not Islamists behind attacks;Kenyan officials deny women kidnapped in coastal attacks;Kenyan police arrest two suspects over Mpeketoni attack;Shebab again claim Kenya attacks, urge Muslim uprising;Kenyan opposition leader denies role in coast massacres;Security experts divided over motivation behind attacks in Kenyan coast - report;Eyewitnesses say ""white man"" commanded Kenyan coastal town attackers;UK, US say Kenya killings linked to terrorism;Somali terror group's involvement in Kenyan coast attacks viewed;Five suspects appear in Kenyan court over coastal town attack;Kenya arrests governor after coastal attacks: police;Report blames Al-Shabab for Kenya's Mpeketoni attack","Kenya Red Cross, Al-Shabaab",2,Mpeketoni town,Lamu county,Lamu West Constituency,-2.392715,40.694218,POINT (40.694218 -2.392715),126442,Kenya,501,KEN,Africa,1,2,2014-06-16,2014-06-17,0,0,7,2,9,9,20
43783,2008,1,2008,2008,2,4704,Pokot - Turkana,5314,Pokot - Turkana,670,,Pokot,693,,Turkana,-1,"All Africa 2008-08-05 ""Church Plans Peace Rallies After 70 are Killed in Attack""  AND BBC Monitoring Africa 2008-08-05 ""Death toll in Kenya's cattle raid attack climbs to 74"" AND BBC Monitoring Africa 2008-08-01 ""Over 30 feared killed in northern Kenya cattle raid",,,,.,3,Turkana district,Rift Valley province,Turkana district,3.0,35.5,POINT (35.500000 3.000000),134352,Kenya,501,KEN,Africa,2,3,2008-07-30,2008-08-05,0,0,0,74,74,74,74
43785,2007,1,2007,2007,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,-1,"Kenya National Commission on Human Rights, Report on Extra-Judicial Killings and Disappearances, September 2008",,,,,1,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,1,2,2007-11-02,2007-11-07,0,0,3,0,3,3,3
34088,1998,1,1998,1998,2,4741,Borana - Degodia,5351,Borana - Degodia,591,,Borana,918,,Degodia,1,"""BBC Monitoring Service: Africa,1998-08-24,Tribal clashes leave 12 dead in northeast.""",BBC Monitoring Service: Africa,1998-08-24,Tribal clashes leave 12 dead in northeast.,,2,Arba Jahan Trading Centre,North Eastern province,Wajir district,2.06667,38.98333,POINT (38.983330 2.066670),132918,Kenya,501,KEN,Africa,1,2,1998-08-22,1998-08-23,0,9,0,0,9,9,9
206481,2015,1,2015,2015,1,13646,Kenya: Northeastern Province and Coast,10589,Government of Kenya - Al-Shabaab,91,501.0,Government of Kenya,717,,Al-Shabaab,9,"""Agence France Presse,2015-05-26,Several Kenyan police killed in Shebab attack near Garissa: security sources"";""Agence France Presse,2015-05-26,Thirteen Kenyan police missing after Shebab ambush near Garissa: spokesman"";""Agence France Presse,2015-05-26,Kenyan police missing, feared dead after Shebab attack"";""Agence France Presse,2015-05-26,Kenya police clash with Shebab in Garissa"";""All Africa,2015-05-26,Kenyan Policemen Killed in Yumbis By Al Shabab Raid"";""All Africa,2015-05-26,Al-Shabab Claims to Have Killed Kenyan Police Officers"";""All Africa,2015-05-26,Al Shabaab Attack in Kenya Leaves More Than 25 Police Officers Dead"";""All Africa,2015-05-26,Only Injuries Sustained in Yumbis Attack - Boinnet"";""All Africa,2015-05-27,African Press Review 27 May 2015""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;All Africa;All Africa;All Africa;All Africa;All Africa,2015-05-26;2015-05-26;2015-05-26;2015-05-26;2015-05-26;2015-05-26;2015-05-26;2015-05-26;2015-05-27,"Several Kenyan police killed in Shebab attack near Garissa: security sources;Thirteen Kenyan police missing after Shebab ambush near Garissa: spokesman;Kenyan police missing, feared dead after Shebab attack;Kenya police clash with Shebab in Garissa;Kenyan Policemen Killed in Yumbis By Al Shabab Raid;Al-Shabab Claims to Have Killed Kenyan Police Officers;Al Shabaab Attack in Kenya Leaves More Than 25 Police Officers Dead;Only Injuries Sustained in Yumbis Attack - Boinnet;African Press Review 27 May 2015","Local officials, police spokesman George Kinoti, Garissa's County Commissioner James Kianda; al-Shabaab spokesman Abdulaziz Abu Musab",5,70km north of Garissa,Garissa county,,0.183994,39.646466,POINT (39.646466 0.183994),130040,Kenya,501,KEN,Africa,1,2,2015-05-25,2015-05-26,1,0,0,0,1,1,21
43764,2008,1,2008,2008,2,4631,Garre subclan of Digil clan (Digil-Mirifle) - Murule subclan of Gugundabe clan (Hawiye),5241,Garre subclan of Digil clan (Digil-Mirifle) - Murule subclan of Gugundabe clan (Hawiye),612,,Garre subclan of Digil clan (Digil-Mirifle),656,,Murule subclan of Gugundabe clan (Hawiye),-1,"AFP 2008-09-16 ""Kenya cattle-clan fighting kills 15: police",,,,.,4,North-Eastern province,North-Eastern province,,1.0,40.25,POINT (40.250000 1.000000),131481,Kenya,501,KEN,Africa,1,2,2008-10-13,2008-10-14,0,0,0,15,15,15,15
44127,2007,1,2007,2007,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,-1,"Kenya National Commission on Human Rights, Report on Extra-Judicial Killings and Disappearances, September 2008",,,,,1,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,2,4,2007-11-01,2007-11-08,0,0,0,0,0,0,1
233343,2016,1,2016,2016,1,13646,Kenya: Northeastern Province and Coast,10589,Government of Kenya - Al-Shabaab,91,501.0,Government of Kenya,717,,Al-Shabaab,3,"""Agence France Presse,2016-09-22,Shabaab militants storm Kenya police post"";""Xinhua News Agency,2016-09-22,Four policemen missing after attack in NE Kenya"";""Agence France Presse,2016-09-22,Shabaab militants storm Kenya police post""",Agence France Presse;Xinhua News Agency;Agence France Presse,2016-09-22;2016-09-22;2016-09-22,Shabaab militants storm Kenya police post;Four policemen missing after attack in NE Kenya;Shabaab militants storm Kenya police post,police; al-Shabaab,1,Liboi location,Garissa county,Dadaab Constituency,0.398519,40.954815,POINT (40.954815 0.398519),130042,Kenya,501,KEN,Africa,1,2,2016-09-21,2016-09-22,0,0,0,0,0,0,6
233329,2016,1,2016,2016,1,13646,Kenya: Northeastern Province and Coast,10589,Government of Kenya - Al-Shabaab,91,501.0,Government of Kenya,717,,Al-Shabaab,1,"""All Africa,2016-08-05,Kenyan Army Base Raided By Al Shabaab""",All Africa,2016-08-05,Kenyan Army Base Raided By Al Shabaab,local residents,2,Fino locality,Mandera county,Mandera East Constituency,3.614372,41.536833,POINT (41.536833 3.614372),135084,Kenya,501,KEN,Africa,1,2,2016-08-03,2016-08-04,2,2,0,0,4,4,4
40807,2012,1,2012,2012,2,4953,Degodia - Garre,5563,Degodia - Garre,918,,Degodia,1079,,Garre,-1,"The Standard 2012-11-08 through BBC ""Suspected Ethiopian raiders kill four in northeastern Kenya""; Xinhua 2012-11-09 ""Roundup: Relative calm returns to N. Kenya after tribal clashes",,,,"police, local official",2,Mandera town,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,KEN,Africa,1,2,2012-11-07,2012-11-09,0,0,0,6,6,6,6
151298,2014,1,2014,2014,2,4953,Degodia - Garre,5563,Degodia - Garre,918,,Degodia,1079,,Garre,5,"""Agence France Presse,2014-06-23,Over 20 killed in northeastern Kenya clashes: governor"";""Agence France Presse,2014-06-23,Over 20 killed in northeastern Kenya clashes: government"";""All Africa,2014-06-23,Tribal Fighting in Kenya Leaves 30 Dead"";""APANEWS,2014-06-22,Kenya: Inter clan clashes claim 30 lives"";""Africa Research Bulletin,2014-07-01,vol 51 issue 6 p 20179""",Agence France Presse;Agence France Presse;All Africa;APANEWS;Africa Research Bulletin,2014-06-23;2014-06-23;2014-06-23;2014-06-22;2014-07-01,Over 20 killed in northeastern Kenya clashes: governor;Over 20 killed in northeastern Kenya clashes: government;Tribal Fighting in Kenya Leaves 30 Dead;Kenya: Inter clan clashes claim 30 lives;vol 51 issue 6 p 20179,"government officials, county authorities ",3,Tarbai Constituency,Wajir county,Tarbai Constituency,2.214,40.115,POINT (40.115000 2.214000),132921,Kenya,501,KEN,Africa,1,2,2014-06-21,2014-06-22,0,0,0,20,20,20,30
33997,2000,1,2000,2000,2,4761,Ajuran - Garre,5371,Ajuran - Garre,924,,Ajuran,1079,,Garre,-1,X 2000-07-21,,,,East African Standard newspaper; district official,3,Wajir district,North Eastern province,Wajir district,1.75,40.25,POINT (40.250000 1.750000),132201,Kenya,501,KEN,Africa,1,2,2000-07-19,2000-07-20,5,12,0,0,17,17,17
40791,2012,1,2012,2012,2,4924,Borana - Gabra,5534,Borana - Gabra,591,,Borana,609,,Gabra,-1,"Daily Nation 2012-01-30 through BBC ""Kenyan police boss blames Ethiopian rebels for clashes in north""; ICG CrisisWatch Database, Kenya, 1 Feb 2012",,,,police,2,Moyale town,Eastern province,Moyale district,3.5216,39.05472,POINT (39.054720 3.521600),135079,Kenya,501,KEN,Africa,1,2,2012-01-26,2012-01-28,0,0,0,21,21,21,21
34092,1998,1,1998,1998,2,4741,Borana - Degodia,5351,Borana - Degodia,591,,Borana,918,,Degodia,2,"""Xinhua News Agency,1998-10-29,300 Feared Dead in Bandit Raids in Kenya."";""Reuters News,1998-10-31,Kenyan Somalis count losses after bloody raids.""",Xinhua News Agency;Reuters News,1998-10-29;1998-10-31,300 Feared Dead in Bandit Raids in Kenya.;Kenyan Somalis count losses after bloody raids.,"media report, officials and witnesses, OLF",3,Wajir district,North Eastern province,Wajir district,1.75,40.25,POINT (40.250000 1.750000),132201,Kenya,501,KEN,Africa,1,2,1998-10-24,1998-10-26,0,147,0,0,147,147,284
44157,2007,1,2007,2007,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,-1,"Kenya National Commission on Human Rights, Report on Extra-Judicial Killings and Disappearances, September 2008",,,,,1,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,1,2,2007-07-14,2007-07-18,0,0,4,0,4,4,4
44174,2008,1,2008,2008,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,-1,"Kenya National Commission on Human Rights, Report on Extra-Judicial Killings and Disappearances, September 2008",,,,,1,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,2,4,2008-06-30,2008-07-11,0,0,2,0,2,2,3
43773,2008,1,2008,2008,3,469,Government of Kenya - Civilians,936,Government of Kenya - Civilians,91,501.0,Government of Kenya,1,,Civilians,-1,"Kenya National Commission on Human Rights, Report on Extra-Judicial Killings and Disappearances, September 2008",,,,,1,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,1,2,2008-07-19,2008-07-24,0,0,2,0,2,2,2
62687,2013,1,2013,2013,2,11936,"Borana - Burji, Gabra",12696,"Borana - Burji, Gabra",591,,Borana,4463,,"Burji, Gabra",5,"""Associated Press Newswires,2013-08-28,At least 20 killed in Kenya clan violence, governor says; automatic weapons used in clashes"";""BBC Monitoring Africa,2013-08-29,Three more killed in fresh clashes in northern Kenyan county"";""BBC Monitoring Africa,2013-08-30,Northern Kenya residents call for probe of website allegedly instigating clashes"";""Xinhua News Agency,2013-08-30,Kenya threatens to use force to restore peace in northern town"";""BBC Monitoring Africa,2013-09-16,Politics of exclusion, clan rivalry fuelling violence in northern Kenya - report""",Associated Press Newswires;BBC Monitoring Africa;BBC Monitoring Africa;Xinhua News Agency;BBC Monitoring Africa,2013-08-28;2013-08-29;2013-08-30;2013-08-30;2013-09-16,"At least 20 killed in Kenya clan violence, governor says; automatic weapons used in clashes;Three more killed in fresh clashes in northern Kenyan county;Northern Kenya residents call for probe of website allegedly instigating clashes;Kenya threatens to use force to restore peace in northern town;Politics of exclusion, clan rivalry fuelling violence in northern Kenya - report","Police; Ukur Yattani, the governor of Kenya's Marsabit county",1,Oda waterhole,Marsabit county,Moyale Constituency,3.49333,39.09569,POINT (39.095690 3.493330),134359,Kenya,501,KEN,Africa,1,1,2013-08-28,2013-08-28,0,0,0,2,1,2,10
241868,2013,1,2013,2013,2,11936,"Borana - Burji, Gabra",12696,"Borana - Burji, Gabra",591,,Borana,4463,,"Burji, Gabra",5,"""Associated Press Newswires,2013-08-28,At least 20 killed in Kenya clan violence, governor says; automatic weapons used in clashes"";""BBC Monitoring Africa,2013-08-29,Three more killed in fresh clashes in northern Kenyan county"";""BBC Monitoring Africa,2013-08-30,Northern Kenya residents call for probe of website allegedly instigating clashes"";""Xinhua News Agency,2013-08-30,Kenya threatens to use force to restore peace in northern town"";""BBC Monitoring Africa,2013-09-16,Politics of exclusion, clan rivalry fuelling violence in northern Kenya - report""",Associated Press Newswires;BBC Monitoring Africa;BBC Monitoring Africa;Xinhua News Agency;BBC Monitoring Africa,2013-08-28;2013-08-29;2013-08-30;2013-08-30;2013-09-16,"At least 20 killed in Kenya clan violence, governor says; automatic weapons used in clashes;Three more killed in fresh clashes in northern Kenyan county;Northern Kenya residents call for probe of website allegedly instigating clashes;Kenya threatens to use force to restore peace in northern town;Politics of exclusion, clan rivalry fuelling violence in northern Kenya - report","Police; Ukur Yattani, the governor of Kenya's Marsabit county",1,Heilu location,Marsabit county,Moyale Constituency,3.52749,39.07768,POINT (39.077680 3.527490),135079,Kenya,501,KEN,Africa,1,1,2013-08-28,2013-08-28,0,0,0,1,2,1,10
63543,2013,1,2013,2013,2,11936,"Borana - Burji, Gabra",12696,"Borana - Burji, Gabra",591,,Borana,4463,,"Burji, Gabra",2,"""BBC Monitoring Africa,2013-12-09,Kenyan leaders accuse Ethiopia of fuelling violence at border town"";""BBC Monitoring Africa,2013-12-09,Political incitement to blame for clashes in northern Kenya - report""",BBC Monitoring Africa;BBC Monitoring Africa,2013-12-09;2013-12-09,Kenyan leaders accuse Ethiopia of fuelling violence at border town;Political incitement to blame for clashes in northern Kenya - report,"""sources outside the government""",3,Moyale Constituency,Marsabit county,Moyale Constituency,3.516389,39.069167,POINT (39.069167 3.516389),135079,Kenya,501,KEN,Africa,1,1,2013-12-06,2013-12-06,0,0,0,15,15,15,15
151229,2014,1,2014,2014,3,604,Al-Shabaab - Civilians,1071,Al-Shabaab - Civilians,717,,Al-Shabaab,1,,Civilians,3,"""Agence France Presse,2014-05-16,Four killed in twin Nairobi blasts"";""Agence France Presse,2014-05-16,Eight dead, more than 70 wounded in Nairobi blasts: hospital"";""Agence France Presse,2014-05-16,Ten dead, more than 70 wounded in Nairobi blasts""",Agence France Presse;Agence France Presse;Agence France Presse,2014-05-16;2014-05-16;2014-05-16,"Four killed in twin Nairobi blasts;Eight dead, more than 70 wounded in Nairobi blasts: hospital;Ten dead, more than 70 wounded in Nairobi blasts","National Disaster Operation Centre, Kenyan Red Cross ",1,Nairobi city,Nairobi city county,,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,KEN,Africa,1,1,2014-05-16,2014-05-16,0,0,0,0,0,0,10
241147,2017,0,2017,2017,2,4924,Borana - Gabra,5534,Borana - Gabra,591,,Borana,609,,Gabra,2,"""Crisiswatch April,2017-04-30,Kenya April 2017"";""The Nation,2017-04-13,Tensions rise after discovery of murdered Marsabit teens""",Crisiswatch April;The Nation,2017-04-30;2017-04-13,Kenya April 2017;Tensions rise after discovery of murdered Marsabit teens,Chief Ali Jirmo ,3,Saku Constituency,Marsabit county,Saku Constituency,2.372635,37.97122,POINT (37.971220 2.372635),132916,Kenya,501,KEN,Africa,1,1,2017-04-12,2017-04-12,4,0,0,0,4,4,4
